customer_id,telecom_partner,gender,age,state,city,pincode,registration_event,num_dependents,estimated_salary
15169,Airtel Nigeria,F,26,Lagos,Abuja,667173,2020-03-16,4,648530
149207,Airtel Nigeria,F,74,Kano,Port Harcourt,313997,2022-01-16,0,506057
148119,Airtel Nigeria,F,54,Rivers,Kano,549925,2022-01-11,2,562102
187288,MTN Nigeria,M,29,Oyo,Port Harcourt,230636,2022-07-26,3,202972
14016,Glo,M,45,Kaduna,Ibadan,188036,2020-03-11,4,201981
226400,9mobile,M,69,Anambra,Abuja,737995,2023-02-07,4,690710
231590,MTN Nigeria,M,34,Enugu,Kano,142400,2023-03-05,3,1001025
194307,9mobile,F,55,Delta,Kano,762756,2022-08-30,2,243050
48459,Airtel Nigeria,F,50,Ogun,Port Harcourt,825280,2020-08-30,3,229108
156011,9mobile,M,38,Edo,Enugu,521017,2022-02-19,4,749573
71275,9mobile,M,27,Katsina,Lagos,176668,2020-12-22,3,526204
76147,MTN Nigeria,M,20,Ogun,Port Harcourt,309610,2021-01-16,3,358199
135752,Glo,M,47,Kaduna,Ibadan,139344,2021-11-10,1,456260
121118,Airtel Nigeria,F,62,Borno,Enugu,604771,2021-08-29,1,259577
45892,9mobile,F,31,Anambra,Abuja,435398,2020-08-17,0,344024
152023,Airtel Nigeria,F,73,Imo,Enugu,504584,2022-01-30,4,162593
144742,9mobile,M,24,Plateau,Ibadan,791982,2021-12-25,1,321344
40454,MTN Nigeria,F,23,Benue,Enugu,340492,2020-07-21,1,520654
68000,9mobile,M,63,Rivers,Ibadan,480979,2020-12-06,3,782283
122677,Glo,F,23,Oyo,Abuja,843965,2021-09-06,1,933692
31492,Glo,M,70,Borno,Ibadan,454629,2020-06-06,2,489452
90014,Airtel Nigeria,M,51,Anambra,Ibadan,129549,2021-03-26,4,524032
146704,MTN Nigeria,F,39,Benue,Abuja,705463,2022-01-04,0,623188
143947,Glo,M,42,Katsina,Ibadan,307417,2021-12-21,4,225342
205899,Glo,M,47,Enugu,Abuja,309712,2022-10-27,4,1161102
239,MTN Nigeria,M,66,Akwa Ibom,Lagos,457276,2020-01-02,2,238767
72439,9mobile,M,37,Plateau,Kano,721347,2020-12-28,3,105497
200377,Glo,F,45,Niger,Abuja,661909,2022-09-29,1,840835
36842,Airtel Nigeria,M,31,Benue,Ibadan,829808,2020-07-03,1,673132
218320,9mobile,M,44,Anambra,Enugu,126083,2022-12-28,0,325704
142390,9mobile,F,34,Borno,Ibadan,946831,2021-12-13,1,154338
57826,9mobile,F,43,Ogun,Kano,882797,2020-10-16,4,206143
213444,9mobile,M,65,Akwa Ibom,Kano,883435,2022-12-04,4,689133
214659,Glo,M,60,Anambra,Port Harcourt,478419,2022-12-10,0,660784
61979,MTN Nigeria,M,56,Benue,Ibadan,123169,2020-11-06,0,133830
31096,Airtel Nigeria,F,55,Ondo,Ibadan,661694,2020-06-04,1,147212
167284,Glo,M,56,Edo,Kano,213050,2022-04-17,2,1104704
109172,Glo,M,37,Benue,Lagos,230554,2021-06-30,1,1011253
199081,MTN Nigeria,F,42,Kano,Enugu,755691,2022-09-23,0,431770
48448,Glo,M,53,Rivers,Enugu,118436,2020-08-30,0,732124
98902,Airtel Nigeria,F,43,Akwa Ibom,Abuja,995036,2021-05-10,4,1089504
46909,Glo,F,36,Imo,Port Harcourt,701931,2020-08-22,0,909788
